dt: 5e-05
Nt: 2000000
N_output: 10000
dx: 0.5
Nx: 512
initial_amp: 0
STEP,ENERGY
1,128.885
10000,6.42668
20000,5.86972
30000,5.69302
40000,5.62568
50000,5.60835
60000,5.62055
70000,5.65359
80000,5.70347
90000,5.76836
100000,5.84763
110000,5.94137
120000,6.05018
130000,6.17505
140000,6.31729
150000,6.47855
160000,6.66079
170000,6.86633
180000,7.09783
190000,7.3584
200000,7.65159
210000,7.9815
220000,8.35282
230000,8.77096
240000,9.24212
250000,9.77341
260000,10.373
270000,11.0504
280000,11.8164
290000,12.6834
300000,13.666
310000,14.7806
320000,16.0465
330000,17.4856
